,0,1
0,ď»żcustomerInput,category
1,internetu stacjonarnego,internet stacjonarny
2,,dtv
3,sprawdziĹ‚em dekoder podĹ‚Ä…czenia dobre dalszym ciÄ…gu obrazy dalszym ciÄ…gu pokazuje napis,dtv
4,telewizji proszÄ™ telewizji prostu dziaĹ‚a telewizja,dtv
5,telewizja,dtv
6,dekoder dziaĹ‚a sĹ‚aby internet,dtv
7,zgubiĹ‚em rachunku proszÄ™ przysĹ‚anie rachunkĂłw mogÄ™ pĹ‚aciÄ‡ kablĂłwki,saldo
8,dekoderĂłw dziaĹ‚a,dtv
9,telewizorĂłw wyĹ›wietliĹ‚a informacja poĹ‚Ä…czenia czym,dtv
10,odzywa odbieraĹ‚ telewizji,dtv
11,internetu stacjonarnego,internet stacjonarny
12,kontaktujcie rachunkĂłw,saldo
13,pisze niedopĹ‚ata staĹ‚o ostatni rachunek pĹ‚acony dwutysiÄ™cznego,saldo
14,pokaĹĽ telewizji wĹ‚Ä…czyÄ‡ gĹ‚upia,dtv
15,parÄ™ poprzednio wyliczany zapĹ‚acone rachunki sĹ‚uchem,saldo
16,niestety chwili pory montaĹĽ dekodera,dtv
17,chyba windykacjÄ™,windykacja
18,faktura,pĹ‚atnoĹ›ci
19,dziaĹ‚em windykacji,windykacja
20,dekodery mogÄ™ oglÄ…daÄ‡ telewizji chcecie odejĹ›Ä‡ wczoraj bym dupek dzwoniĹ‚ mogÄ™ telewizji oglÄ…daÄ‡,dtv
21,numery telefonu komĂłrkowego,telefon mobiny
22,internet stacjonarny,internet stacjonarny
23,czas pisze dostÄ™pu,dtv
24,zĹ‚ote zalegĹ‚oĹ›ci tÄ… sprawÄ™ wyjaĹ›niÄ‡ przychodziĹ‚y rachunki,windykacja
25,razy powtarzaÄ‡ telewizora,dtv
26,przyjdzie karta sim telefon zmianÄ™,telefon mobilny
27,godziny wyjaĹ›ni telewizor,dtv
28,maĹ‚e mieszkania telewizja,dtv
29,minutki mijajÄ… telewizor wyĹ‚Ä…cza,dtv
30,salda,saldo
31,kontaktujÄ™ odbiera ogĂłle telewizor,dtv
32,ĹĽychlin ulica inĹĽyniera okoniewskiego mieszkanie proszÄ™ wysĹ‚anie rachunkĂłw okres dwĂłch dziÄ™kujÄ™,saldo
33,niedopĹ‚ata,saldo
