,0,1
0,﻿customerInput,category
1,internetu stacjonarnego,internet stacjonarny
2,,dtv
3,sprawdziłem dekoder podłączenia dobre dalszym ciągu obrazy dalszym ciągu pokazuje napis,dtv
4,telewizji proszę telewizji prostu działa telewizja,dtv
5,telewizja,dtv
6,dekoder działa słaby internet,dtv
7,zgubiłem rachunku proszę przysłanie rachunków mogę płacić kablówki,saldo
8,dekoderów działa,dtv
9,telewizorów wyświetliła informacja połączenia czym,dtv
10,odzywa odbierał telewizji,dtv
11,internetu stacjonarnego,internet stacjonarny
12,kontaktujcie rachunków,saldo
13,pisze niedopłata stało ostatni rachunek płacony dwutysięcznego,saldo
14,pokaż telewizji włączyć głupia,dtv
15,parę poprzednio wyliczany zapłacone rachunki słuchem,saldo
16,niestety chwili pory montaż dekodera,dtv
17,chyba windykację,windykacja
18,faktura,płatności
19,działem windykacji,windykacja
20,dekodery mogę oglądać telewizji chcecie odejść wczoraj bym dupek dzwonił mogę telewizji oglądać,dtv
21,numery telefonu komórkowego,telefon mobiny
22,internet stacjonarny,internet stacjonarny
23,czas pisze dostępu,dtv
24,złote zaległości tą sprawę wyjaśnić przychodziły rachunki,windykacja
25,razy powtarzać telewizora,dtv
26,przyjdzie karta sim telefon zmianę,telefon mobilny
27,godziny wyjaśni telewizor,dtv
28,małe mieszkania telewizja,dtv
29,minutki mijają telewizor wyłącza,dtv
30,salda,saldo
31,kontaktuję odbiera ogóle telewizor,dtv
32,żychlin ulica inżyniera okoniewskiego mieszkanie proszę wysłanie rachunków okres dwóch dziękuję,saldo
33,niedopłata,saldo
34,skoro rachunek zapłaciłam chodzi,saldo
35,nazwisko kowalska rachunków faktur fakt płot opłaty kiedyś płaciłem,saldo
36,panie dzwonię rachunku,saldo
37,zadłużenie wobec internet chciałam powiedzieć ureguluję wtorek,windykacja
38,zapłaty pozostaje pasuje wiem nadpłata,saldo
39,dni temu blankiety niedopłata,płatności
40,nowe,dtv
41,telewizji,dtv
42,terminu podłączenia telewizji,dtv
43,wizja dekoderem chyba wina dekodera sygnału,dtv
44,wypowiedzenia,rezygnacje
45,złote przyszła faktura którą opłaciłam proszę wyjaśnić okres faktura tyle muszę zapłacić,płatności
46,osób pokładzie wstrząśnie płatności,saldo
47,poprosił telefonie stacjonarnym mamy sygnału lubicie drugi tydzień,telefon stacjonarny
48,adres zmienić adres,przeniesienie usług
49,dekoderu działa,dtv
50,internetu stacjonarnego,internet stacjonarny
51,problem telewizją kablową dziękuję,dtv
52,dziewięciu zapłaty wiem chodzi dostałam wiem chodzi,saldo
53,kontaktuje powodu braku faktury telewizję kablową miesiąc,płatności
54,dzwonię bank dodzwonić wziąć numer konta płacić proszę pomóc,saldo
55,faktura przyszła,płatności
56,zapłacić,saldo
57,gruszy blankiety mum całym bliższa diuny czas płacze wiem nadwyżka wiem zrobić,płatności
58,napisane nadpłatę płacić rachunku,saldo
59,numer taryfa opłat proszę powiedzieć,dtv
60,pilot przestał chodzić akurat święta,dtv
61,zapłacenia wiem,saldo
62,budowna dekoder proszę powiedzieć zrobić czymś innym mogę przywieźć dekoder,dtv
63,chciałam powiedzieć internet działa uczennica domu internet działa możemy połączyć lekcje,internet stacjonarny
64,wcześniej mówiłem razy pytać samo,internet stacjonarny
65,obchodzi saldo zadłużenia żadnego zadłużenia,saldo
66,odpowiedzieć czym mogę pomóc mapa kanałów pusta zaprogramowano telewizora,dtv
67,państwo wprowadzać błąd pisząc błąd dekoder źle podłączony,dtv
68,domowego,internet stacjonarny
69,dostałam informację karta sim została aktywowana,telefon mobilny
70,dopiero otrzymałam fakturę nalicza odsetki płacę,płatności
71,rachunku dostałam denerwujecie wyłączyć prostu,saldo
72,internet domowy akurat wyłączony router,internet stacjonarny
73,chciałam zapytać rachunki eteny tysiące drugi,saldo
74,dzisiejszym dniu otrzymałam dopiero rachunek,saldo
75,pytania mówić połączyć,telefon stacjonarny
76,wiem mobilny,internet mobilny
77,mówię dzwonię stacjonarne numery telefon stacjonarny mówię takiego numeru,telefon stacjonarny
78,jaką dyspozycji chodzi jakieś zmiany danych chodzi mógłby wyjaśnić,umowa
79,sygnału,dtv
80,telewizja internet,dtv
81,telewizję włączono,dtv
82,błędny dzwoniłem program telewizji zrobił programie,dtv
83,komórkowy telefon chodzi umowy,telefon mobiny
84,kupiłem nowy telewizor posiadam kartę przełożyłem nowe gniazdo ogóle wykrywalne karta,dtv
85,internet wifi,internet stacjonarny
86,mobilnej telewizji,smart tv
87,iść dekoderem znam numer numer klienta,dtv
88,mówienie salda,saldo
89,telewizję,dtv
90,saldo umowy chce dostałam listy muszę zrobić tymi listami umowy muszę odsyłać,saldo
91,rozmawiać telewizji internecie,tv online
92,dochodzi programu ogóle programów,dtv
93,dostaję ogóle rachunków chodzi,saldo
94,pieprzenie internet stacjonarny,internet stacjonarny
95,włączyliście łączymy automat proszę połączyć temat rachunku halo halo,saldo
96,maszyną słyszeć dzwonię dzwonię wszędzie pieniądze ode bierze programów halo proszę,dtv
97,czym wietrze mamy żadnego programu telewizji,dtv
98,wiem rachunek płacę czas,saldo
99,pomóc kwitów opłaty skończyły tamtym dzwoniłem miały dostarczone,saldo
100,ponadto pas mówię domu faktury,płatności
101,routera wifi,internet stacjonarny
102,niedopłata wzięła mać,saldo
103,telewizję,dtv
104,telewizji,dtv
105,telewizor,dtv
106,telewizor normany,dtv
107,telewizor telewizji zrobić dzieje zadzwonić dzwonię,dtv
108,popsuła kablówka warsza dosyć włączył wczoraj popsuło wifi przyszedł zobaczył,internet stacjonarny
109,odczytuje telewizji laptopach odczytuje mieć zgodę stary miałam wifi odczytuje nowy wifi gje,dtv
110,tv rower rodziny signum,dtv
111,tv sprosta,dtv
112,rachunku,saldo
113,czym przyszedł konsultant uruchomił jedyny światełko świat zacz okien świat telewizja,dtv
114,jakiej dzwonisz opłaty,saldo
115,rachunku opłaty,saldo
116,stanie saldo,saldo
117,telefonie internet mamy internet stacjonarny telewizja,internet stacjonarny
118,zepsuł telewizor przyszedł naprawił,dtv
119,zgłaszałam dekoder działa założony zawieszony proszę zrobione miało elektronicznie zrobione,dtv
120,zeszłym tygodniu przyszedł rachunek zaległość miesiąc dowiedzieć miesiąc,saldo
121,wie dekoder popsuł jakąś kartę nową dacie dekodera,dtv
122,wiesz temat telefonu komórkowego,telefon mobiny
123,porozmawiać temat rachunku spłaty długu rzekomego długu,saldo
124,uciekł załatwić telewizji kabla podpiąć kablu zrobiły,dtv
125,rachunku,saldo
126,telefonu komórkowego,telefon mobilny
127,zwrotu sprzętu,zwrot sprzętu
128,abonament abonament abonentem telewizji,dtv
129,abonament hbo,hbo
130,abonament telefon stacjonarny,telefon stacjonarny
131,abonament płatności abonament,saldo
132,abonament rachunki,saldo
133,abonament telefoniczny komórka komórka,telefon mobilny
134,abonamentowej telewizja,dtv
135,abonamentu hbo,hbo
136,mans komórkowych środków koncie,internet mobilny
137,ogóle odbioru telewizji,dtv
138,mogę domowego mogę zebrać żadnego programu radio wyłączył mogę zlikwidować,dtv
139,rachunku rachunku,saldo
140,technicznej sygnału telewizji sygnału,dtv
141,wyjaśnić anulował moją wypowiedzenie umowy,rezygnacje
142,adaptacji telewizora,dtv
143,adapter zamontowania karty telewizora samsung,dtv
144,adres email faktury miesiąc,płatności
145,adres wysyłają prostu rachunki zapłaty usługi telewizyjne,saldo
146,salda,saldo
147,aha,dtv
148,aha awarii dekodera telewizji,dtv
149,aha,dtv
150,aha halo dostałam faktury,płatności
151,aha proszę mamy telewizji,dtv
152,aha zablokował telewizor erotyce blokada rodzicielska,dtv
153,aktu faktury,płatności
154,aktualizacja dekodera,dtv
155,aktualizacja dekodera telewizji,dtv
156,aktualizacja hbo,hbo
157,aktualizacja telefonu komórkowego,telefon mobilny
158,aktualnego rachunku,saldo
159,aktualny rachunek,saldo
160,aktualny rachunek abonament,saldo
161,aktywacja dekodera,dtv
162,aktywacja e-book,umowa
163,aktywacja hbo,hbo
164,aktywacja hbo,hbo
165,aktywacja internetu stacjonarnego,internet stacjonarny
166,aktywacja karty,dtv
167,aktywacja mobilnego internetu,internet mobilny
168,aktywacja produkty,umowa
169,aktywacja telefonu komórkowego,telefon mobilny
170,aktywacja tidal,tidal
171,aktywacja usługi internet stacjonarny,internet stacjonarny
172,aktywacja usługi voucher netflix,netflix
173,aktywacja voucher netflix,netflix
174,aktywacja vouchera fix,netflix
175,aktywacja vouchera netflix,netflix
176,aktywowałem usługę hbo piątek nadal aktywna problem techniczny zostanie naprawiony,hbo
177,aktywowałem hasło internetu córka zapomniała hasła mogę spierdalaj zaułek telefonie,internet stacjonarny
178,aktywowanie usługi wifi,internet stacjonarny
179,muszę zapłacić telefon tele,saldo
180,wiem kwota dzwonił przedstawił,saldo
181,rachunku saldo rachunku,saldo
182,salda dostałam umowa moimi niemego,saldo
183,telefon domu,telefon stacjonarny
184,brama internet stacjonarny,internet stacjonarny
185,błąd pomóż wysłać błąd telewizji,dtv
186,dzwonię uszkodzenia anteną telewizyjną czas pisze sygnału wiem dzieje,dtv
187,chciałem rachunkami gadać źle połączę wypisanie rachunek,płatności
188,dzwonię rachunków przychodzi rachunek płatniczy,saldo
189,paru dni ogóle obrazu telewizorze wiecznie wiecznie wyłączamy sygnału sygnału ogóle,dtv
190,jakieś kapie internet stacjonarny model nogę,internet stacjonarny
191,trzeci powtarzam rozwiązać umowę proszę rozmowę odpowiednią osobą zasięgnąć informacji temacie,rezygnacje
192,komu powiedzieć telewizji,dtv
193,dostałam druku rachunku,saldo
194,komórkowego opłacane każdego miesiąca odbieracie rachunek,telefon mobilny
195,łączności dekoderem szybko wyświetla kanałów kanały wyświetlają,dtv
196,posłucha całym bloku programu telewizyjnego internetu stacjonarnego,internet stacjonarny
197,chodzi papierowej faktury dostałem zapłacenia,płatności
198,czym mówiła telewizję,dtv
199,pilot telewizorze chce prostu włączyć dekoder włączyć,dtv
200,pilot działa ogóle dekodera robotem gadasz wyglądzie telewizja telewizja chodzi telewizję,dtv
201,proszę należy ekipy dwudziestu obraz głosu,dtv
